feature,importance
is_weekend,0.007396979865763015
request_count,0.006049696011306361
hour_cos,0.005107741671482735
unique_users,0.005050254284820715
user_concentration,0.005025477385965808
request_count_ma5,0.004717248345274155
p95_response_time,0.004455981235512331
unique_ips,0.0043218859826457375
request_acceleration,0.004122276538662212
deviation_ma10,0.003766331497337361
deviation_ma5,0.0037496635725306287
ip_concentration,0.0036570125652658717
request_count_ma10,0.003578736222123082
payment_ratio,0.0035645422529195147
is_night,0.0035322810843221274
request_variance,0.00334811051392835
path_entropy,0.003298852226161442
response_time_std,0.0031598315147928625
request_count_std10,0.003139312950011985
spike_ratio,0.0030002312862787333
checkout_ratio,0.00272663549669442
avg_response_time,0.002707532581255524
hour,0.0026600517008436323
request_count_std5,0.0026195465749708846
request_pct_change,0.002462564142726407
request_velocity,0.0023577382418015786
error_rate,0.0021159550867625096
user_agent_diversity,0.0017997336191613658
hour_sin,0.0017732728790563663
bot_ratio,0.00029751717692947467
is_business_hours,0.00027908082300956026
